task_type,resources,duration,cost
Testing,3,8,4982
Analysis,5,33,1224
Validation,6,37,1423
Testing,7,10,1190
Development,1,18,4333
Validation,5,40,1720
Testing,4,15,4488
Analysis,2,24,1056
Testing,5,16,1900
Development,5,20,4272
Development,6,20,2773
Development,5,24,1700
Testing,5,14,1734
Testing,2,11,555
Development,2,10,3808
Development,9,39,1300
Validation,6,49,2699
Development,9,41,4530
Analysis,5,43,2644
Testing,7,30,4730
Analysis,7,33,1112
Testing,4,19,2093
Testing,7,8,2905
Development,3,18,1198
Validation,2,5,4771
Testing,8,35,3687
Development,3,36,4192
Validation,8,10,4757
Testing,9,41,1705
Analysis,2,34,2388
Testing,8,48,2539
Analysis,4,9,989
Validation,4,34,1884
Development,6,34,4759
Development,1,47,964
Validation,5,10,1993
Validation,7,31,4536
Testing,2,17,2594
Validation,2,6,2445
Development,7,9,4405
Testing,6,49,3592
Validation,5,27,3159
Testing,6,6,1902
Analysis,2,17,2012
Development,7,34,3955
Testing,3,40,3895
Analysis,9,32,2516
Validation,3,44,4961
Testing,1,43,2282
Analysis,1,18,4765
Development,1,30,3597
Analysis,5,26,4509
Validation,3,9,1783
Testing,3,14,4380
Development,7,37,1010
Testing,5,20,4457
Analysis,4,17,2093
Development,1,41,3444
Analysis,5,7,2830
Testing,8,18,3189
Validation,7,29,587
Validation,8,5,587
Analysis,3,33,1264
Analysis,3,24,3928
Testing,3,27,3252
Validation,6,8,2692
Testing,3,12,925
Development,3,46,1500
Development,9,35,4111
Development,5,46,1458
Testing,9,16,3857
Development,2,6,4729
Validation,3,12,1875
Analysis,6,12,4534
Validation,1,43,1367
Analysis,9,25,4109
Development,7,18,4781
Analysis,2,27,4650
Development,4,15,1220
Testing,5,33,3956
Testing,3,23,1448
Testing,3,26,3213
Validation,7,5,723
Development,7,17,4976
Analysis,3,32,740
Testing,4,49,2395
Validation,3,30,2916
Development,5,18,1718
Analysis,3,27,1142
Development,2,21,1006
Validation,7,26,3129
Analysis,7,49,3281
Analysis,8,16,1495
Development,9,44,1421
Testing,6,15,3364
Testing,2,6,4741
Validation,2,18,4585
Analysis,1,46,1820
Analysis,8,30,4510
Analysis,8,21,2032
Analysis,3,15,4387
Testing,2,8,1584
Development,6,19,2724
Testing,1,39,3154
Analysis,2,8,3753
Validation,4,11,3905
Analysis,1,35,1479
Development,6,45,2727
Validation,1,8,3247
Testing,9,38,4842
Validation,9,46,1470
Analysis,6,45,546
Development,1,12,4226
Validation,5,35,1069
Development,8,31,2510
Analysis,4,23,3775
Testing,4,46,799
Testing,2,15,2382
Validation,1,22,3598
Validation,1,29,3788
Analysis,2,43,3828
Validation,8,19,1801
Testing,3,40,1345
Validation,9,35,3285
Testing,4,25,1768
Development,9,37,2429
Development,4,23,4981
Validation,9,41,3832
Testing,3,23,1209
Testing,2,38,4616
Development,8,35,4707
Testing,1,23,2196
Testing,8,12,1133
Testing,3,41,3446
Development,5,13,3890
Validation,5,17,2408
Development,2,30,2609
Validation,5,9,2983
Validation,9,17,2280
Testing,5,30,4586
Analysis,8,16,3489
Validation,7,26,1523
Validation,3,17,2797
Development,9,28,3454
Development,1,20,4422
Development,7,21,1755
Validation,8,37,3135
Testing,8,37,2411
Analysis,3,33,2057
Testing,7,41,2524
Analysis,8,22,4519
Testing,5,17,4488
Validation,5,24,3788
Analysis,7,35,575
Analysis,6,39,4494
Analysis,5,39,3930
Validation,5,10,2936
Development,1,9,533
Testing,6,40,4306
Development,9,40,4197
Validation,1,43,2401
Testing,8,37,1287
Validation,6,43,3869
Development,1,21,1787
Testing,7,15,1497
Validation,6,41,3592
Development,4,8,3190
Validation,4,38,2073
Validation,5,45,2281
Development,6,48,4036
Testing,4,41,4933
Testing,3,49,3800
Validation,8,48,3464
Testing,4,48,1146
Analysis,8,27,515
Analysis,9,15,3946
Analysis,9,10,4210
Development,4,42,3059
Testing,8,29,1262
Analysis,4,19,2131
Analysis,5,46,800
Development,8,15,889
Testing,8,34,1592
Analysis,4,25,4978
Development,1,15,4066
Development,3,30,3130
Analysis,5,35,1857
Validation,8,32,2127
Analysis,8,25,1013
Analysis,1,44,2857
Development,9,9,2069
Analysis,9,27,1536
Analysis,9,16,3390
Development,9,47,535
Analysis,9,16,3083
Analysis,9,15,2800
Validation,2,15,4057
Development,1,13,1005
Analysis,8,49,657
Validation,5,37,3387
Analysis,2,24,511
Analysis,6,33,4340
Development,1,48,742
Validation,8,45,2022
Testing,4,38,1181
Testing,3,26,1456
Validation,2,27,2469
Validation,6,16,2774
Analysis,7,37,4156
Development,2,27,4741
Analysis,6,32,4797
Analysis,9,18,2046
Validation,9,38,2402
Analysis,6,5,1181
Analysis,3,15,3339
Development,7,39,4787
Testing,4,25,3870
Development,6,24,3110
Validation,7,43,3326
Testing,4,5,4481
Analysis,4,35,3356
Development,2,17,4625
Analysis,2,21,3999
Development,1,47,4715
Development,8,47,2202
Development,9,48,785
Analysis,6,43,4640
Development,7,30,3025
Validation,5,46,4444
Analysis,3,27,1516
Validation,6,35,1434
Development,2,15,3651
Validation,9,14,4697
Testing,5,36,678
Testing,1,23,882
Analysis,2,35,931
Validation,7,31,2551
Validation,7,40,1735
Development,5,16,2486
Testing,2,16,3226
Testing,6,15,2018
Testing,3,43,2788
Testing,1,10,4310
Validation,1,46,1403
Testing,1,23,3147
Development,2,46,2612
Testing,5,14,2003
Testing,4,27,3177
Validation,6,28,2871
Development,8,24,2752
Testing,6,38,1130
Testing,4,13,3191
Analysis,8,45,3329
Development,3,40,1581
Validation,8,6,3378
Testing,4,42,1239
Analysis,7,8,3892
Development,4,27,2848
Development,7,21,3070
Testing,2,25,2852
Analysis,5,40,4706
Validation,5,20,3428
Analysis,3,41,2008
Testing,7,6,1874
Testing,7,47,1839
Analysis,3,43,4936
Validation,2,20,2399
Analysis,9,37,4784
Validation,7,17,1043
Analysis,2,37,4441
Validation,4,28,1918
Analysis,1,29,2946
Development,7,43,3653
Development,4,42,1769
Validation,6,22,4161
Testing,8,37,2593
Validation,5,47,4899
Testing,2,40,3125
Testing,1,19,4819
Development,7,40,2518
Validation,5,32,634
Development,8,43,3919
Analysis,1,5,844
Testing,7,48,4224
Development,5,41,3052
Analysis,6,28,2775
Validation,1,24,1518
Testing,4,37,2317
Analysis,5,16,3346
Validation,6,15,3931
Testing,7,27,2629
Development,6,45,3268
Development,1,48,3616
Validation,7,47,4256
Development,7,32,1317
Analysis,9,5,4351
Testing,4,48,2485
Development,2,42,2540
Analysis,6,40,3890
Analysis,7,15,1156
Development,5,12,1568
Testing,3,8,1187
Validation,9,41,3389
Validation,6,21,3129
Analysis,5,45,3390
Analysis,2,20,962
Analysis,3,43,1275
Analysis,2,9,634
Testing,5,5,4047
Analysis,2,8,4194
Testing,7,32,2055
Analysis,7,36,1099
Validation,8,27,3087
Testing,6,20,4363
Analysis,8,21,1881
Testing,4,13,4233
Development,3,22,3101
Validation,3,37,4319
Analysis,1,26,1314
Development,6,36,4240
Development,8,36,4239
Analysis,8,39,4805
Testing,4,10,3587
Validation,8,34,1254
Testing,4,46,1474
Testing,5,29,2955
Development,7,27,4274
Validation,5,13,2880
Testing,5,15,1497
Testing,5,42,3041
Analysis,2,20,2310
Analysis,2,17,1423
Validation,7,21,1301
Testing,1,20,783
Development,6,22,3956
Development,7,46,2070
Development,9,31,3208
Validation,6,41,4332
Analysis,3,16,2139
Analysis,1,32,2637
Testing,6,48,1205
Validation,7,32,4086
Analysis,1,39,4592
Testing,5,39,3239
Testing,7,41,1459
Development,3,10,1312
Testing,4,48,3169
Analysis,2,45,4770
Testing,7,26,3442
Development,4,42,822
Validation,9,24,2228
Validation,3,40,4698
Analysis,8,8,2787
Analysis,2,34,1156
Testing,8,38,3315
Analysis,9,28,3378
Validation,2,25,2487
Validation,7,17,3936
Testing,2,47,4408
Development,1,46,4715
Validation,7,13,1982
Analysis,2,49,2049
Testing,8,5,3972
Validation,8,16,2241
Development,8,35,1821
Testing,9,24,3210
Testing,7,47,3153
Analysis,4,14,4504
Analysis,2,26,4303
Development,5,29,809
Development,3,44,3043
Development,1,8,3831
Analysis,6,48,1981
Analysis,8,41,1789
Analysis,1,9,721
Validation,7,17,2929
Validation,8,25,1759
Validation,3,46,3014
Testing,5,17,2172
Validation,3,6,3032
Development,9,20,1898
Development,6,37,4670
Validation,4,8,2293
Validation,2,33,4638
Development,7,26,1170
Analysis,4,43,1941
Testing,5,16,3453
Analysis,2,40,2396
Analysis,9,40,3277
Development,2,37,4330
Analysis,4,17,1933
Validation,1,14,4665
Testing,4,32,2202
Development,5,43,2786
Analysis,1,14,1520
Analysis,7,35,4342
Validation,4,30,717
Development,8,27,1040
Development,3,6,2302
Analysis,1,30,2625
Analysis,2,14,3632
Development,6,40,1330
Validation,6,49,2234
Testing,6,10,3569
Testing,1,24,2886
Testing,1,18,2857
Development,9,5,4872
Testing,3,46,4041
Validation,6,26,3537
Validation,3,15,2065
Validation,9,32,2396
Testing,2,29,2235
Analysis,5,15,2487
Analysis,3,24,645
Testing,3,15,2604
Validation,7,34,818
Validation,7,14,1177
Validation,7,31,3057
Testing,7,5,2859
Analysis,8,47,1926
Development,2,49,2130
Analysis,1,46,1954
Validation,3,15,3591
Validation,3,13,1605
Analysis,3,26,3389
Analysis,6,49,1299
Validation,8,6,4795
Validation,6,43,4336
Testing,7,45,1158
Testing,5,10,1070
Testing,5,7,4014
Testing,1,18,1119
Analysis,7,13,3249
Analysis,4,27,1751
Analysis,4,38,4296
Analysis,1,36,1524
Analysis,4,17,4610
Testing,2,23,3756
Development,1,11,1158
Validation,8,48,825
Analysis,6,36,3905
Analysis,7,32,2149
Validation,1,9,993
Analysis,6,30,3290
Analysis,3,10,4966
Validation,3,17,3994
Testing,4,44,4020
Validation,5,42,1509
Development,7,38,3049
Validation,7,10,4275
Testing,7,17,1899
Development,3,49,1004
Development,2,45,2428
Validation,2,37,3800
Analysis,4,40,1570
Validation,3,47,2931
Testing,5,27,4342
Analysis,4,11,2133
Testing,8,40,3010
Development,1,49,4725
Development,8,26,4423
Analysis,7,18,4629
Analysis,2,32,4016
Analysis,9,14,3729
Development,5,34,4092
Testing,8,23,1378
Development,4,49,3599
Testing,8,8,2991
Analysis,8,8,3462
Analysis,6,12,4460
Testing,3,23,614
Testing,8,16,541
Testing,8,25,4504
Validation,9,36,938
Testing,8,37,3354
Analysis,3,45,2671
Development,5,41,756
Analysis,1,29,3315
Testing,7,7,2647
Testing,3,34,4529
Development,1,34,1881
Analysis,7,33,2278
Development,5,35,2641
Validation,5,35,823
Development,5,33,3027
Testing,8,26,836
Validation,8,22,3903
Testing,6,45,1337
Validation,7,47,4728
Validation,5,40,624
Validation,2,12,4114
Validation,2,12,1281
Analysis,9,25,1635
Development,6,18,3206
Analysis,9,19,999
Testing,1,18,4000
Analysis,7,30,1940
Testing,8,9,559
Development,9,44,2630
Validation,7,29,2102
Testing,1,14,1438
Testing,1,35,2772
Development,9,44,2597
Validation,2,21,3733
Analysis,7,33,795
Analysis,2,46,4400
Validation,3,23,2290
Testing,7,8,1049
Testing,2,30,3730
Testing,6,27,2570
Validation,6,32,2304
Testing,8,43,2160
Validation,4,26,2154
Analysis,4,48,4551
Testing,2,11,3406
Validation,2,24,2819
Development,4,22,1308
Development,7,18,1676
Validation,5,21,3867
Development,2,15,1948
Testing,9,22,512
Analysis,3,46,2973
Development,3,16,2726
Validation,6,28,1229
Validation,7,8,2247
Validation,2,41,3886
Testing,5,28,2792
Analysis,6,42,918
Development,3,30,2456
Validation,9,26,4517
Testing,7,10,4450
Validation,6,43,4699
Validation,5,40,3980
Development,6,16,4932
Development,8,24,2342
Analysis,3,19,4279
Analysis,9,19,2779
Development,4,31,1992
Analysis,1,30,612
Testing,3,30,4746
Development,1,11,1172
Testing,7,37,3881
Development,7,19,1175
Validation,7,41,3017
Development,8,21,1439
Development,5,27,3981
Validation,4,21,3006
Development,6,46,1655
Development,1,18,1189
Testing,4,40,2477
Testing,2,20,4865
Analysis,7,35,2347
Validation,9,27,2811
Validation,3,48,825
Testing,1,19,3122
Testing,2,10,4060
Analysis,8,47,2414
Testing,2,44,1231
Development,2,18,2717
Testing,7,25,1598
Development,2,41,3824
Development,3,24,1943
Analysis,8,36,2467
Validation,9,37,3151
Testing,2,36,2439
Validation,2,16,2359
Analysis,6,24,2455
Development,5,41,2535
Testing,7,14,3520
Development,8,30,4062
Testing,3,30,2730
Development,4,38,4120
Analysis,4,48,2847
Testing,2,28,2678
Analysis,5,35,1029
Development,4,39,3266
Testing,8,45,3552
Validation,6,42,2767
Analysis,9,33,1525
Analysis,6,21,4683
Development,3,28,2920
Development,8,17,4490
Testing,3,13,1211
Development,1,44,3576
Testing,2,20,1189
Development,9,21,552
Testing,2,32,3818
Testing,4,45,3299
Development,4,42,1575
Validation,7,5,2256
Testing,3,22,1005
Validation,5,10,3713
Validation,4,6,3025
Validation,5,29,2454
Development,8,27,944
Analysis,1,20,4211
Development,6,18,1483
Testing,2,48,3338
Testing,3,18,2790
Development,5,18,1552
Testing,5,17,1807
Validation,4,34,2935
Validation,7,42,1279
Validation,4,46,2659
Testing,4,26,4951
Analysis,6,29,3920
Analysis,3,34,1548
Validation,8,17,3067
Development,6,44,2669
Validation,6,36,4905
Validation,5,35,2542
Analysis,8,41,4480
Development,2,22,2610
Testing,8,18,2832
Testing,9,46,1064
Development,3,22,2717
Validation,1,25,504
Analysis,2,22,4717
Development,8,19,1219
Development,8,28,2837
Validation,4,6,2319
Testing,2,49,3813
Validation,6,35,3414
Testing,6,48,1935
Testing,8,47,2523
Validation,4,16,1968
Validation,9,22,1503
Testing,3,30,2490
Testing,2,31,1360
Development,7,49,554
Testing,9,14,4237
Validation,1,13,514
Development,9,22,2251
Validation,6,36,4086
Development,4,6,1147
Testing,1,22,1445
Analysis,6,43,1597
Analysis,8,36,3880
Analysis,5,29,3255
Testing,5,21,601
Validation,4,28,652
Analysis,2,17,2478
Development,8,19,698
Testing,4,26,2626
Testing,1,8,4774
Development,2,43,637
Validation,4,47,864
Analysis,8,21,1764
Analysis,7,43,1156
Testing,9,33,3824
Validation,7,45,3372
Validation,6,33,3782
Development,5,24,4842
Analysis,8,11,1349
Testing,7,31,766
Testing,7,38,1695
Analysis,7,40,2742
Development,5,18,3146
Testing,2,19,3780
Testing,6,43,833
Development,5,13,1052
Validation,8,15,2937
Testing,1,8,2908
Validation,7,9,4083
Testing,7,41,2398
Development,7,7,2284
Development,7,23,1343
Analysis,2,7,2892
Testing,6,44,3489
Development,1,5,1503
Testing,9,31,3319
Development,6,48,2294
Testing,2,31,1669
Validation,2,13,753
Testing,4,30,2345
Validation,1,38,2685
Development,1,29,2170
Testing,3,25,2099
Development,3,47,3411
Analysis,2,35,737
Testing,2,31,4689
Validation,9,28,4963
Testing,2,40,639
Analysis,3,44,1504
Testing,8,46,3517
Analysis,5,44,1565
Analysis,4,44,1302
Development,2,33,4127
Development,9,37,2479
Testing,5,20,1911
Testing,5,25,3675
Analysis,2,41,3978
Analysis,6,33,4158
Testing,2,23,2886
Analysis,7,36,1397
Testing,5,6,4242
Testing,6,28,3481
Analysis,6,20,4211
Validation,2,32,801
Testing,6,6,4370
Development,2,20,4831
Analysis,5,31,4012
Testing,3,44,2402
Development,6,8,758
Development,7,39,1797
Analysis,6,48,2892
Development,3,23,4342
Validation,9,16,1745
Validation,8,38,3439
Development,8,35,3952
Analysis,8,49,3588
Development,1,47,3456
Validation,4,22,2610
Validation,2,33,1702
Validation,1,7,2768
Validation,4,34,4592
Validation,5,36,2007
Testing,4,36,3202
Testing,7,44,701
Testing,8,43,3863
Development,8,5,2239
Testing,6,47,1527
Validation,8,36,4361
Testing,1,31,4920
Testing,4,24,2138
Development,5,46,1506
Testing,2,27,3630
Testing,1,10,1657
Testing,2,5,2230
Development,1,27,1723
Testing,7,6,3708
Validation,4,31,3553
Testing,5,25,2467
Development,3,10,2951
Validation,6,38,4540
Analysis,4,18,2787
Validation,3,44,3328
Analysis,2,19,4807
Development,6,49,2318
Development,8,24,4114
Analysis,3,41,1031
Analysis,4,27,3411
Analysis,3,16,900
Testing,5,35,1391
Testing,6,10,1142
Analysis,3,24,3206
Testing,3,39,3634
Validation,5,43,783
Development,6,24,683
Validation,6,46,1508
Analysis,8,9,1634
Development,8,13,3263
Validation,9,44,4382
Analysis,2,46,3297
Validation,4,9,1985
Development,5,38,4760
Analysis,3,13,3008
Testing,3,48,4934
Testing,3,42,1806
Validation,6,40,980
Validation,3,13,3608
Testing,5,42,4596
Development,2,14,2956
Validation,4,37,3947
Development,1,28,4410
Validation,4,42,3690
Testing,5,5,2888
Testing,5,48,3053
Validation,3,42,1651
Development,2,43,1672
Testing,6,47,531
Testing,6,30,3356
Analysis,4,17,2829
Analysis,8,49,729
Development,3,19,3750
Analysis,6,39,1502
Testing,3,45,1568
Validation,2,49,2415
Testing,6,22,4553
Testing,3,33,2387
Testing,8,7,3555
Testing,8,37,1213
Testing,7,13,979
Analysis,7,5,3167
Validation,4,18,4402
Analysis,4,8,984
Testing,3,47,886
Validation,9,6,4856
Development,3,44,3763
Testing,1,6,3331
Analysis,1,31,583
Development,3,40,4232
Validation,1,17,3089
Development,2,10,4213
Validation,6,19,4503
Validation,1,5,2268
Validation,5,36,4014
Testing,8,22,4882
Validation,4,44,2464
Development,7,33,4325
Testing,6,25,2110
Development,5,5,1599
Analysis,4,12,3609
Validation,9,20,1167
Development,3,46,2431
Development,5,18,1579
Analysis,8,25,3740
Analysis,8,19,4374
Testing,3,6,917
Validation,6,39,3801
Development,8,32,3860
Analysis,6,33,2161
Analysis,9,41,2292
Analysis,6,11,3322
Development,3,32,4929
Testing,5,31,2978
Testing,8,30,1044
Development,5,26,693
Development,1,25,2301
Analysis,6,16,3257
Development,9,43,1454
Analysis,5,38,1815
Validation,6,18,2432
Validation,2,16,2235
Validation,6,30,3672
Analysis,3,17,4647
Development,6,36,1508
Analysis,4,46,4827
Validation,5,40,1863
Development,8,13,2868
Validation,9,35,1588
Testing,5,30,4193
Validation,6,10,3945
Analysis,5,48,4958
Analysis,3,9,3123
Testing,3,37,1653
Analysis,8,8,749
Development,3,9,2123
Development,3,19,1877
Validation,3,39,2664
Analysis,8,39,842
Development,2,15,3634
Validation,2,44,4566
Validation,8,22,3242
Testing,2,47,4082
Validation,5,32,1776
Validation,8,47,620
Analysis,9,6,1478
Development,9,28,4438
Development,4,12,4403
Testing,4,46,2055
Development,6,31,3396
Development,1,6,585
Analysis,4,34,3389
Development,9,11,3387
Validation,3,23,1146
Development,8,19,3443
Analysis,7,21,3880
Validation,5,15,2813
Testing,2,39,3679
Testing,8,42,2468
Development,8,46,4688
Testing,4,19,3441
Analysis,3,9,2789
Development,2,8,1841
Development,4,47,2551
Development,8,14,4367
Testing,9,22,3487
Validation,2,40,4959
Testing,1,34,2652
Testing,5,45,1467
Testing,9,17,3351
Testing,5,14,3598
Development,1,10,1406
Development,4,25,3230
Development,8,18,2910
Validation,3,12,4983
Analysis,7,25,4349
Testing,5,6,4338
Testing,3,24,3949
Development,4,46,4760
Testing,1,36,4607
Validation,8,6,4267
Validation,9,22,3241
Testing,4,37,2551
Validation,5,45,511
Analysis,5,38,911
Testing,3,39,834
Development,3,10,2165
Testing,8,24,1264
Validation,9,46,2172
Validation,7,47,537
Validation,1,42,2121
Testing,5,37,4716
Development,4,9,2331
Testing,2,48,2322
Development,9,15,1049
Analysis,2,27,1082
Validation,4,7,954
Analysis,5,25,4526
Testing,3,23,2501
Analysis,6,19,2331
Development,7,16,3882
Testing,2,8,525
Validation,4,37,3001
Validation,2,9,4781
Development,8,7,4602
Testing,3,31,1469
Analysis,5,18,1068
Analysis,9,47,3604
Development,7,11,2330
Analysis,9,37,3919
Analysis,4,41,1922
Development,7,18,1610
Development,7,21,4626
Analysis,6,46,2091
Validation,4,26,3252
Validation,5,33,1569
Testing,4,43,4520
Development,7,38,3797
Validation,2,48,2636
Analysis,2,7,4232
Analysis,1,32,3844
Analysis,3,42,1840
Development,3,7,3486
Development,5,5,2391
Validation,6,42,820
Analysis,4,14,1047
Validation,3,6,2276
Testing,9,43,2640
Testing,7,15,2455
Validation,1,5,4655
Development,7,43,1741
Analysis,3,21,2010
Testing,8,12,1181
Analysis,4,43,897
Analysis,5,44,3188
Testing,9,9,2186
Validation,5,45,1053
Development,9,36,970
Analysis,7,11,639
Development,7,31,2128
Analysis,7,28,3449
Testing,4,30,2394
Analysis,7,41,4530
Analysis,3,11,1483
Analysis,6,40,3109
Development,2,43,2246
Analysis,1,19,681
Development,6,39,2518
Analysis,5,40,3364
Validation,2,25,2145
Analysis,6,14,2969
Analysis,2,9,1666
Analysis,4,40,1582
Validation,9,15,4729
Development,4,15,1512
Validation,3,12,4744
Testing,7,34,3789
Development,3,12,894
Analysis,7,22,4778
Analysis,5,26,668
Development,4,41,2397
Development,4,11,662
Analysis,6,40,1963
Testing,9,21,4869
Testing,1,15,914
Validation,6,38,3060
Validation,2,45,3980
Analysis,4,46,4000
Validation,4,11,4373
Validation,6,29,4560
Testing,1,31,4751
Validation,5,46,1707
Testing,3,39,1568
Development,6,34,1168
Validation,9,34,4751
Testing,6,9,2643
Testing,6,47,685
Analysis,1,6,3465
Validation,2,49,834
Validation,4,8,1348
Validation,4,30,3864
Development,2,37,3049
Testing,4,37,4191
Validation,9,23,2302
Testing,1,33,657
Testing,6,29,3216
Analysis,2,16,3129
Development,5,38,4609
Validation,1,21,1748
Development,2,46,3236
Development,6,16,2656
Analysis,3,37,3795
Validation,7,35,4376
Development,1,24,4964
Analysis,3,49,813
Validation,9,48,3406
Testing,4,41,1022
Validation,1,22,1202
Analysis,4,13,1947
Analysis,6,39,2520
Analysis,4,45,2216
Validation,3,38,4818
Testing,5,34,1169
Analysis,3,7,4612
Validation,5,8,972
Validation,2,32,1135
Testing,8,33,4308
Development,4,8,586
Testing,5,36,1562
Validation,5,12,798
Validation,2,11,4087
Development,2,48,4069
Testing,9,14,2540
Validation,5,43,4400
Validation,8,6,1682
Analysis,3,15,3633
Analysis,7,23,3591
Validation,7,22,2191
Validation,5,40,3653
Development,8,35,4460
Development,6,11,4024
Validation,2,31,4919
Analysis,9,14,3894
Validation,9,22,3353
Development,6,19,4885
Testing,5,34,4812
Analysis,9,31,3765
Testing,1,29,3810
Testing,9,35,2024
Validation,7,20,3006
Analysis,7,5,971
Testing,2,26,4073
Validation,9,27,4869
Analysis,8,6,1862
Validation,9,18,3533
Analysis,2,49,3222
Development,9,37,3146
Validation,2,17,3510
Development,8,6,3949
Testing,8,34,4047
Testing,4,17,2338
Development,5,5,4775
Testing,3,38,2183
Testing,4,32,1983
Testing,3,7,4636
Analysis,5,49,4692
Development,6,11,3917
Development,8,11,1325
Development,2,41,3393
Development,9,45,2345
Development,1,27,651
Development,6,41,3491
Development,1,15,3888
Testing,4,36,3139
Testing,1,45,2798
Testing,7,15,1071
Testing,8,5,1839
Testing,3,6,4432
Analysis,4,25,2405
Validation,9,20,3463
Testing,4,25,3759
Development,2,16,4819
Testing,9,21,3864
Development,6,12,1772
Validation,7,40,4630
Development,3,49,3727
Validation,2,5,583
Validation,2,13,1623
Testing,4,23,3945
Validation,9,45,2362
Testing,8,5,1827
Development,2,38,1271
Testing,6,32,2906
Analysis,7,16,1970
Analysis,1,16,3616
Development,3,34,4065
Validation,3,34,938
Development,1,45,1534
Testing,8,26,959
Validation,3,32,4244
Analysis,9,15,2369
Analysis,3,26,2866
Validation,7,45,4264
Development,4,9,3415
Testing,6,30,3306
Development,8,48,1717
Validation,7,29,920
Validation,2,45,2623
Analysis,4,5,962
Development,7,24,3332
Analysis,8,20,4788
Testing,9,33,2023
Validation,8,48,801
Testing,4,32,3409
Testing,2,31,4934
Testing,3,8,4324
Analysis,5,42,1840
Development,1,31,4524
Validation,3,13,3976
Analysis,1,35,3233
Analysis,3,19,1855
Development,1,21,4701
Development,5,5,553
Analysis,4,37,1406
Analysis,5,29,1565
Testing,5,22,3124
Validation,4,25,4184
Testing,1,14,4854
Analysis,5,48,1126
Validation,4,16,970
Development,3,27,4419
Testing,4,48,2707
Testing,8,19,2790
Validation,9,46,3350
Testing,1,13,570
Testing,9,7,2386
Analysis,4,46,1064
Development,2,39,1848
Development,7,10,4378
Validation,3,16,1281
Testing,8,44,1314
Validation,6,44,3661
Development,4,25,2032
Analysis,5,9,4838
Validation,5,5,4920
Analysis,3,39,4461
Validation,2,29,4039
Testing,1,19,4792
Testing,5,18,4331
Analysis,9,36,652
Testing,1,37,3408
Testing,4,10,1429
Validation,3,33,2786
Validation,4,24,555
Development,1,43,4297
Validation,6,44,1731
Development,7,48,4582
Development,4,21,4704
Development,3,23,654
Analysis,3,42,1488
Development,8,14,1844
Testing,7,27,923
Development,8,39,609
Development,2,15,4589
Analysis,3,27,2245
Analysis,6,36,1389
Development,9,43,1936
Analysis,9,44,2483
Development,2,11,3243
Analysis,8,32,4338
Analysis,1,13,4529
Development,1,46,4199
Analysis,1,8,3058
Testing,3,29,2476
Testing,7,19,1935
Validation,5,8,953
Testing,8,13,3157
Development,3,17,1380
Testing,6,32,1219
Development,6,49,3367
Testing,9,8,1453
Development,7,36,4846
Validation,6,46,4577
Validation,7,26,1000
Validation,7,26,2186
Analysis,9,20,1284
Validation,7,30,4444
Development,3,5,4801
Testing,3,47,866
Validation,5,31,3095
Development,6,27,4150
Development,5,18,1514
Testing,6,49,2686
Analysis,5,33,665
Testing,1,26,1578
Analysis,9,42,2437
Development,4,13,2001
Validation,5,17,3627
Testing,6,18,3258
Testing,1,37,735
Development,3,9,2422
Validation,3,10,2520
Analysis,1,34,1336
Development,3,16,1945
Analysis,3,9,803
Validation,8,11,791
Validation,6,33,3604
Analysis,4,16,2508
Validation,8,22,1067
Analysis,7,21,2549
Testing,2,6,916
Analysis,5,22,1028
Analysis,9,18,1806
Analysis,2,30,1410
Analysis,1,30,3676
Testing,3,23,3456
Development,5,38,4372
Development,3,13,4164
Validation,6,46,2340
Development,5,42,2817
Analysis,2,30,1513
Testing,8,28,524
Development,6,29,2743
Analysis,7,43,3343
Validation,7,19,2268
Analysis,6,28,2293
Analysis,2,49,1392
Analysis,1,40,555
Validation,9,31,659
Analysis,6,31,4481
Development,1,33,4749
Analysis,1,34,940
Development,9,7,3338
Testing,2,36,1628
Analysis,2,30,1729
Validation,9,32,3737
Analysis,2,48,3046
Validation,7,27,3681
Validation,2,24,3983
Analysis,5,38,4278
Testing,6,31,1679
Analysis,5,31,2903
Validation,7,36,1910
Analysis,3,43,4094
Development,6,10,2220
Testing,7,46,3732
Testing,6,5,4366
Validation,1,29,2603
Testing,4,29,2384
Validation,8,44,4109
Validation,8,21,2717
Development,3,43,617
Development,6,40,1611
Validation,6,17,1036
Analysis,4,37,1804
Analysis,9,15,2501
Testing,4,5,3011
Development,5,26,1881
Testing,3,24,2106
Testing,3,18,2063
Development,6,43,3676
Development,4,10,1896
Validation,7,35,2603
Testing,9,11,1468
Validation,5,13,878
Development,1,13,2027
Analysis,4,18,4714
Development,3,30,3383
Validation,4,39,1903
Validation,9,30,927
Analysis,8,17,3125
Development,6,29,2909
Validation,7,24,1498
Development,1,15,855
Validation,1,48,4703
Testing,4,27,2585
Testing,5,34,2990
Validation,4,26,3824
Testing,9,42,1000
Validation,4,40,3513
Development,2,48,4361
Validation,8,46,3888
Validation,3,22,2681
Analysis,6,11,931
Validation,9,27,2757
Testing,3,44,4141
Testing,2,27,1707
Validation,9,45,804
Validation,3,9,4462
Development,2,13,3127
Validation,3,19,3921
Development,1,38,4389
Development,3,12,4493
Validation,7,35,2542
Analysis,5,31,1586
Development,8,46,3824
Validation,2,37,3865
Validation,3,46,2199
Development,1,46,2539
Validation,7,39,3486
Analysis,1,33,4014
Analysis,1,6,4079
